"Story","Title","Result","Date","Stability","Duration (s)"
"Carrito de compra","Validar que un cliente pueda agregar un producto al carrito de compras","SUCCESS","2021-03-09T16:54:58.9957338-05:00[America/Bogota]","0.0","47.35"
"Registro de estudiante","Validar los estudiantes puedan registrar su informacion en el portal","SUCCESS","2022-02-16T09:10:43.5495629-05:00[America/Bogota]","0.0","40.2"
